timestamp,feeder_id,meter_sum_kwh,feeder_input_kwh,mismatch_kwh,mismatch_pct
2026-01-01 00:00:00,KMG-11,13.8263,14.379352,0.553052000000001,3.85
2026-01-01 00:15:00,KMG-11,13.9155,14.47212,0.5566200000000006,3.85
2026-01-01 00:30:00,KMG-11,13.8682,14.422928,0.5547280000000008,3.85
2026-01-01 00:45:00,KMG-11,13.811,14.36344,0.5524400000000007,3.85
2026-01-01 01:00:00,KMG-11,13.8481,14.402024,0.5539240000000003,3.85
2026-01-01 01:15:00,KMG-11,13.9833,14.542632000000001,0.5593320000000013,3.85
2026-01-01 01:30:00,KMG-11,14.010800000000001,14.571232000000002,0.5604320000000005,3.85
2026-01-01 01:45:00,KMG-11,13.826600000000001,14.379664000000002,0.5530640000000009,3.85
2026-01-01 02:00:00,KMG-11,13.6007,14.144728,0.5440280000000008,3.85
2026-01-01 02:15:00,KMG-11,14.0437,14.605447999999999,0.5617479999999997,3.85
2026-01-01 02:30:00,KMG-11,14.0755,14.63852,0.5630199999999999,3.85
2026-01-01 02:45:00,KMG-11,13.768,14.31872,0.5507200000000001,3.85
2026-01-01 03:00:00,KMG-11,14.053099999999999,14.615224,0.5621240000000007,3.85
2026-01-01 03:15:00,KMG-11,14.1146,14.679184,0.564584,3.85
2026-01-01 03:30:00,KMG-11,13.9578,14.516112000000001,0.5583120000000008,3.85
2026-01-01 03:45:00,KMG-11,13.9551,14.513304,0.5582039999999999,3.85
2026-01-01 04:00:00,KMG-11,13.9476,14.505504,0.5579040000000006,3.85
2026-01-01 04:15:00,KMG-11,13.9661,14.524744000000002,0.558644000000001,3.85
2026-01-01 04:30:00,KMG-11,13.8534,14.407536,0.5541359999999997,3.85
2026-01-01 04:45:00,KMG-11,14.065900000000001,14.628536000000002,0.5626360000000012,3.85
2026-01-01 05:00:00,KMG-11,15.7428,16.372512,0.6297119999999996,3.85
2026-01-01 05:15:00,KMG-11,16.0845,16.72788,0.6433800000000005,3.85
2026-01-01 05:30:00,KMG-11,16.1847,16.832088,0.6473879999999994,3.85
2026-01-01 05:45:00,KMG-11,16.5826,17.245904,0.6633040000000001,3.85
2026-01-01 06:00:00,KMG-11,46.0363,47.877752,1.8414520000000039,3.85
2026-01-01 06:15:00,KMG-11,48.478699999999996,50.417848,1.939148000000003,3.85
2026-01-01 06:30:00,KMG-11,47.4933,49.393032,1.8997320000000002,3.85
2026-01-01 06:45:00,KMG-11,48.672200000000004,50.619088000000005,1.9468880000000013,3.85
2026-01-01 07:00:00,KMG-11,97.0483,100.930232,3.881932000000006,3.85
2026-01-01 07:15:00,KMG-11,96.4395,100.29708,3.8575799999999987,3.85
2026-01-01 07:30:00,KMG-11,96.5447,100.40648800000001,3.861788000000004,3.85
2026-01-01 07:45:00,KMG-11,99.1446,103.110384,3.9657839999999993,3.85
2026-01-01 08:00:00,KMG-11,118.5839,123.327256,4.743356000000006,3.85
2026-01-01 08:15:00,KMG-11,118.9172,123.67388799999999,4.756687999999997,3.85
2026-01-01 08:30:00,KMG-11,117.9987,122.718648,4.719948000000002,3.85
2026-01-01 08:45:00,KMG-11,118.40849999999999,123.14483999999999,4.736339999999998,3.85
2026-01-01 09:00:00,KMG-11,128.1333,133.258632,5.125332000000014,3.85
2026-01-01 09:15:00,KMG-11,126.9165,131.99316000000002,5.076660000000018,3.85
2026-01-01 09:30:00,KMG-11,129.0768,134.239872,5.163072,3.85
2026-01-01 09:45:00,KMG-11,129.0673,134.22999199999998,5.162691999999993,3.85
2026-01-01 10:00:00,KMG-11,126.7056,131.77382400000002,5.068224000000015,3.85
2026-01-01 10:15:00,KMG-11,128.9854,134.144816,5.159415999999993,3.85
2026-01-01 10:30:00,KMG-11,129.9555,135.15372,5.198219999999992,3.85
2026-01-01 10:45:00,KMG-11,130.3187,135.531448,5.212748000000005,3.85
